Category,Feature,Task,Hour,Description,,,Cron Job,Cron Trigger Hour
InApp Notification System,,,,,,,,
,Notification,Bell notification,2,Show unread indicator (dot or count),,,,
,,Notification List API,6,"- API to return the last N notifications
- Support unread count",,,,
,,Notification Table & Modal UI,10,"- UI to display dropdown/modal of recent notifications
- Clicking shows full content or opens related page",,,,
,,Notification Routing & Links,4,"- Each notification can link to a booking, chat, etc.
- Route to corresponding page when clicked",,,,
,,Mark as Read,2,"- API to mark notification as read
- Update unread bubble",,,,
,,Unread Bubble Logic,2,- Show unread dot/badge until opened or marked as read,,,,
,,Template system,2,Can use handlebar or mustache,,,,
,Websocket integration - Live Notification Update,,,,,,,
,,WebSocket Setup (Backend),4,"- Setup socket server (e.g., socket.io) and user session handling",,,,
,,Redis Pub/Sub Integration,4,- Use Redis for centralized pub/sub between server instances,,,,
,,Event Emitters for Notifications,4,"- Emit events for new messages, bookings, cancellations, etc.",,,,
,,WebSocket Frontend Listener,3,- Listen to WebSocket on client- Update UI in real-time,,,,
,,"Reconnect, Heartbeat, Cleanup",3,"- Handle edge cases, socket cleanup, reconnect logic",,,,
,,Store notifications in DB,2,Persist notifications for history / reload,,,,
,,Mark as read API,2,API to mark notifications as read,,,,
,,WebSocket connection (client),2,Connect to backend WebSocket server,,,,
,,WebSocket message handling,2,Push incoming notifications to local state,,,,
,,,,,,,,
Email Service,,,,,,,,
,Email Service,Basic Email Template,4,"- Develop reusable HTML email template (header, footer, shared styles)
- Store in a third-party email platform (e.g., SendGrid or Mailchimp) to support future Zapier phase-out",,New,,
,,,,,,,,
,,,,,,,,
,,Offline Message Notification Template,5,"- Email notification to fleet admin or user when a message is received and the recipient is offline
- Include both English and Dutch versions
- Trigger & Data 3hr, template 2hr",Email,New,,
,,,,,,,,
,,,,,,,,
,Cron Service,Booking Reminder,6,"-  Upcoming trip: Triggers a reminder email N days before the booking start date
- Camper return today: Triggers one day before the the return
- The value of N is stored in a config file
- Applies system-wide (not configurable per fleet admin)",,,,
,,Abandoned Booking Reminder,6,"- Periodically checks for abandoned bookings
- Sends a reminder email to the user encouraging them to complete the booking",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Super Admin Notification,,,,"Trigger notificaiton, repare data : 2hr
Email template: 2hr
In-app template: 1hr",,,,
,New Booking,Any booking confirmed,5,“🎉 New booking confirmed for [Camper Name] (€[Amount])”,"In-app, Email",Many messages,,
,Cancellation,Booking cancelled,5,“⚠️ [Traveller Name] cancelled a booking for [Camper Name]”,"In-app, Email",,,
,Dispute Opened,Fleet owner or traveller files dispute,5,“🚨 Dispute opened on booking #[ID] — review details”,"In-app, Email",,,
,Late Return,Vehicle not checked in on time,3,“🕒 [Camper Name] return overdue — contact owner”,"In-app, Push",,,
,Deposit Held,Deposit flagged or held,3,“💰 Deposit for booking #[ID] held for review”,In-app,,,
,New Fleet Owner,New account created,3,“👋 [Owner Name] has registered a new fleet account”,In-app,,,
,Inactive Fleet Owner,No new bookings in 30+ days,5,“📉 [Owner Name] has had no bookings in 30 days — check listing performance”,"In-app, Email",,,
,Revenue Milestone,Platform crosses revenue threshold,3,“💶 Congratulations! Platform reached €100K GBV this quarter”,In-app,,,
